Event:[10.0, 1.0, 1.0, 1.0, YES]
Dogleg transform: boost[X,0.97] boost[Y,0.95]
Dogleg:           [115.91503043007748, -35.78701803585312, -109.80702900865369, 1.0, YES]

Boost+rotation transform: rotate[Z,0.23374053585196874] boost[X,0.9971147125581891] rotate[Z,-1.028420353109959] rotate[Z,-0.23374053585196874]
Boost + rotation ev: [115.91503043007783, -35.78701803585324, -109.80702900865401, 1.0, YES]

Order matters. Rotation+boost isn't the same.
Rotation+boost transform: rotate[Z,0.23374053585196874] rotate[Z,-1.028420353109959] boost[X,0.9971147125581891] rotate[Z,-0.23374053585196874]
Rotation + boost ev: [131.90826026877232, -128.2795249003928, -29.088702591619267, 1.0, YES]

βx   βy   β-equiv            β-direction-degs  θw-degs
---------------------------------------------------------
0.9999999895816072 0.2 0.9999999899983429 0.001654123734230932 -11.535305026055157
0.9999999895816072 0.3 0.9999999905192626 0.002481185600484732 -17.455122108952068
0.9999999895816072 0.4 0.9999999912485501 0.0033082474657045342 -23.57487044957426
0.9999999895816072 0.5 0.9999999921862054 0.0041353093295456705 -29.995864949148707
0.9999999895816072 0.6 0.9999999933322286 0.004962371191663476 -36.864935561178726
0.9999999895816072 0.7 0.9999999946866197 0.005789433051713284 -44.42121486615927
0.9999999895816072 0.8 0.9999999962493786 0.006616494909350431 -53.12348614577299
0.9999999895816072 0.9 0.9999999980205053 0.0074435567642302455 -64.1506239142448
0.9999999895816072 0.95 0.9999999989842067 0.007857087690528446 -71.79727075061444
0.9999999895816072 0.96 0.9999999991831979 0.007939793875691235 -73.73185565826711
0.9999999895816072 0.97 0.999999999384273 0.008022500060820937 -75.92210989313017
0.9999999895816072 0.98 0.9999999995874316 0.008105206245917205 -78.51355395563232
